,mkt_cap,beta,book_value,sector,eps,month_ago,year_ago,prev_date,analysis_date,trade_date,pred_date,volume
CSCO,243701972992,1.028849,36804000000,Technology,2.882000044245004,55.38050079345703,42.61146545410156,56.52999877929688,56.93000030517578,56.47000122070313,55.4000015258789,12051100.0
SITC,2525838592,0.8703770000000001,1524945000,Real Estate,0.9220000481100812,13.119999885559082,13.56999969482422,13.640000343322756,13.989999771118164,14.130000114440918,14.25,1877298.0
UAL,24006699008,1.278593,10320000000,Industrials,9.837999399022896,86.43000030517578,82.75,93.36000061035156,93.44000244140624,93.93000030517578,91.91000366210938,1957100.0
TROW,27080550400,1.0292430000000001,6579100000,Financial Services,7.944999812709208,108.54000091552734,115.54003143310548,115.1999969482422,114.95999908447266,115.36000061035156,113.38999938964844,1034600.0
ISRG,61039140864,1.289684,7265300000,Healthcare,10.12900021254051,517.760009765625,522.6900024414061,527.6300048828125,529.6099853515625,531.6400146484375,519.510009765625,359600.0
NVR,12028798976,0.6264460000000001,2119439000,Consumer Cyclical,207.53698698426535,3333.6201171875,2757.0,3309.81005859375,3301.35009765625,3288.090087890625,3344.139892578125,40300.0
PRGO,7376152576,1.8920139999999999,5700600000,Healthcare,0.8349999978447641,46.599998474121094,69.04083251953125,53.540000915527344,54.2400016784668,54.2400016784668,54.0099983215332,1022500.0
LECO,5384445952,1.317793,845428000,Industrials,4.882999927444111,80.33000183105469,90.87142944335938,86.83000183105469,85.73999786376953,85.68000030517578,84.5199966430664,406100.0
GDI,6521902592,1.376,1737700000,Industrials,1.3209999638351202,33.900001525878906,28.770000457763672,33.09999847412109,32.290000915527344,33.200000762939446,32.970001220703125,1293000.0
TPR,8881062912,1.153096,3531200000,Consumer Cyclical,2.426000063245608,31.040000915527344,45.82627487182617,30.6200008392334,30.61000061035156,30.65999984741211,30.93000030517578,3274600.0
DVN,10595904512,2.206295,7857000000,Energy,6.152999541466516,28.29999923706055,41.60496520996094,25.540000915527344,25.520000457763672,26.8799991607666,27.0,5301700.0
CR,5048566784,1.5185680000000001,1674400000,Industrials,5.899999832028475,81.72000122070312,88.2171401977539,85.97000122070312,84.30000305175781,84.88999938964844,83.69999694824219,471400.0
W,12279759872,2.493631,-479147000,Consumer Cyclical,,147.64999389648438,119.72000122070312,138.05999755859378,134.0,132.44999694824222,131.16000366210938,1733200.0
CE,13873729536,1.267978,2864000000,Basic Materials,8.00499948344478,105.55379486083984,115.05372619628906,111.16000366210938,112.12000274658205,112.5199966430664,112.16999816894531,792700.0
MRO,11041866752,1.919404,12208000000,Energy,1.0809999682105935,14.199999809265135,19.85667610168457,13.75,13.5,14.130000114440918,14.06999969482422,9132800.0
NBIX,7939221504,1.12842,409275000,Healthcare,,82.4000015258789,119.36000061035156,87.4800033569336,86.97000122070312,95.9499969482422,96.38999938964844,1023400.0
BA,191439568896,1.3318809999999999,-5322000000,Industrials,8.722000432754378,364.0199890136719,338.4851989746094,345.0,340.2099914550781,347.4599914550781,341.17999267578125,4116600.0
VRTX,42574991360,1.184292,4723313000,Healthcare,8.298000398052428,178.5800018310547,175.0500030517578,166.8300018310547,166.22999572753906,169.5399932861328,166.6199951171875,1366600.0
AFG,9204628480,0.9738559999999999,5665000000,Financial Services,7.881000047686847,101.7311553955078,106.6291275024414,103.66999816894531,102.62999725341795,102.6500015258789,102.37999725341795,311600.0
GILD,86300098560,1.145381,21951000000,Healthcare,4.5319997443864,67.08000183105469,75.33755493164062,66.91999816894531,67.87000274658203,67.08999633789061,65.51999664306639,5571700.0
SLM,3916142336,1.7480200000000001,2697316000,Financial Services,1.2389998944015777,9.460000038146973,11.41483211517334,9.279999732971193,9.18000030517578,9.1899995803833,9.109999656677246,4324500.0
NLSN,8354109440,1.159311,2790000000,Industrials,,22.32999992370605,20.946611404418945,23.54999923706055,23.5,22.899999618530273,23.15999984741211,2560100.0
